Date,Stock Price,Gold Price,GBI
2023-01-03,171.05999755859375,171.05999755859375,1.0
2023-01-04,172.6699981689453,172.6699981689453,1.0
2023-01-05,170.52000427246094,170.52000427246094,1.0
2023-01-06,173.7100067138672,173.7100067138672,1.0
2023-01-09,174.10000610351562,174.10000610351562,1.0
2023-01-10,174.74000549316406,174.74000549316406,1.0
2023-01-11,174.6199951171875,174.6199951171875,1.0
2023-01-12,176.63999938964844,176.63999938964844,1.0
2023-01-13,178.75999450683594,178.75999450683594,1.0
2023-01-17,177.58999633789062,177.58999633789062,1.0
2023-01-18,177.0800018310547,177.0800018310547,1.0
2023-01-19,179.88999938964844,179.88999938964844,1.0
2023-01-20,179.2899932861328,179.2899932861328,1.0
2023-01-23,179.6300048828125,179.6300048828125,1.0
2023-01-24,180.27999877929688,180.27999877929688,1.0
2023-01-25,181.11000061035156,181.11000061035156,1.0
2023-01-26,179.47000122070312,179.47000122070312,1.0
2023-01-27,179.22000122070312,179.22000122070312,1.0
2023-01-30,178.75999450683594,178.75999450683594,1.0
2023-01-31,179.41000366210938,179.41000366210938,1.0
2023-02-01,181.6699981689453,181.6699981689453,1.0
2023-02-02,177.89999389648438,177.89999389648438,1.0
2023-02-03,173.4600067138672,173.4600067138672,1.0
2023-02-06,173.82000732421875,173.82000732421875,1.0
2023-02-07,173.97999572753906,173.97999572753906,1.0
2023-02-08,174.41000366210938,174.41000366210938,1.0
2023-02-09,173.02999877929688,173.02999877929688,1.0
2023-02-10,173.36000061035156,173.36000061035156,1.0
2023-02-13,172.47999572753906,172.47999572753906,1.0
2023-02-14,172.61000061035156,172.61000061035156,1.0
2023-02-15,170.88999938964844,170.88999938964844,1.0
2023-02-16,170.75,170.75,1.0
2023-02-17,171.25999450683594,171.25999450683594,1.0
2023-02-21,170.6199951171875,170.6199951171875,1.0
2023-02-22,169.66000366210938,169.66000366210938,1.0
2023-02-23,169.57000732421875,169.57000732421875,1.0
2023-02-24,168.35000610351562,168.35000610351562,1.0
2023-02-27,169.00999450683594,169.00999450683594,1.0
2023-02-28,169.77999877929688,169.77999877929688,1.0
2023-03-01,170.75999450683594,170.75999450683594,1.0
2023-03-02,170.66000366210938,170.66000366210938,1.0
2023-03-03,172.49000549316406,172.49000549316406,1.0
2023-03-06,171.6199951171875,171.6199951171875,1.0
2023-03-07,168.6199951171875,168.6199951171875,1.0
2023-03-08,168.5399932861328,168.5399932861328,1.0
2023-03-09,170.1999969482422,170.1999969482422,1.0
2023-03-10,173.8699951171875,173.8699951171875,1.0
2023-03-13,177.86000061035156,177.86000061035156,1.0
2023-03-14,176.8300018310547,176.8300018310547,1.0
2023-03-15,178.2100067138672,178.2100067138672,1.0
2023-03-16,178.57000732421875,178.57000732421875,1.0
2023-03-17,183.77000427246094,183.77000427246094,1.0
2023-03-20,183.83999633789062,183.83999633789062,1.0
2023-03-21,180.3699951171875,180.3699951171875,1.0
2023-03-22,183.44000244140625,183.44000244140625,1.0
2023-03-23,185.74000549316406,185.74000549316406,1.0
2023-03-24,183.64999389648438,183.64999389648438,1.0
2023-03-27,181.9499969482422,181.9499969482422,1.0
2023-03-28,183.44000244140625,183.44000244140625,1.0
2023-03-29,182.52999877929688,182.52999877929688,1.0
2023-03-30,184.17999267578125,184.17999267578125,1.0
2023-03-31,183.22000122070312,183.22000122070312,1.0
2023-04-03,184.5399932861328,184.5399932861328,1.0
2023-04-04,187.97999572753906,187.97999572753906,1.0
2023-04-05,187.8300018310547,187.8300018310547,1.0
2023-04-06,186.49000549316406,186.49000549316406,1.0
2023-04-10,185.11000061035156,185.11000061035156,1.0
2023-04-11,186.27999877929688,186.27999877929688,1.0
2023-04-12,187.19000244140625,187.19000244140625,1.0
2023-04-13,189.72000122070312,189.72000122070312,1.0
2023-04-14,186.36000061035156,186.36000061035156,1.0
2023-04-17,185.52999877929688,185.52999877929688,1.0
2023-04-18,186.25,186.25,1.0
2023-04-19,185.36000061035156,185.36000061035156,1.0
2023-04-20,186.08999633789062,186.08999633789062,1.0
2023-04-21,184.25,184.25,1.0
2023-04-24,184.80999755859375,184.80999755859375,1.0
2023-04-25,185.75,185.75,1.0
2023-04-26,184.74000549316406,184.74000549316406,1.0
2023-04-27,184.75,184.75,1.0
2023-04-28,184.8000030517578,184.8000030517578,1.0
2023-05-01,183.97000122070312,183.97000122070312,1.0
2023-05-02,187.52000427246094,187.52000427246094,1.0
2023-05-03,189.11000061035156,189.11000061035156,1.0
2023-05-04,190.44000244140625,190.44000244140625,1.0
2023-05-05,187.4600067138672,187.4600067138672,1.0
2023-05-08,187.69000244140625,187.69000244140625,1.0
2023-05-09,189.02000427246094,189.02000427246094,1.0
2023-05-10,188.75,188.75,1.0
2023-05-11,187.1300048828125,187.1300048828125,1.0
2023-05-12,186.80999755859375,186.80999755859375,1.0
2023-05-15,187.2100067138672,187.2100067138672,1.0
2023-05-16,184.8699951171875,184.8699951171875,1.0
2023-05-17,184.22999572753906,184.22999572753906,1.0
2023-05-18,181.83999633789062,181.83999633789062,1.0
2023-05-19,183.63999938964844,183.63999938964844,1.0
2023-05-22,183.2100067138672,183.2100067138672,1.0
2023-05-23,183.42999267578125,183.42999267578125,1.0
2023-05-24,181.9499969482422,181.9499969482422,1.0
2023-05-25,180.1999969482422,180.1999969482422,1.0
2023-05-26,180.9199981689453,180.9199981689453,1.0
2023-05-30,182.0399932861328,182.0399932861328,1.0
2023-05-31,182.32000732421875,182.32000732421875,1.0
2023-06-01,183.75999450683594,183.75999450683594,1.0
2023-06-02,181.0500030517578,181.0500030517578,1.0
2023-06-05,182.13999938964844,182.13999938964844,1.0
2023-06-06,182.33999633789062,182.33999633789062,1.0
2023-06-07,180.14999389648438,180.14999389648438,1.0
2023-06-08,182.52999877929688,182.52999877929688,1.0
2023-06-09,182.0399932861328,182.0399932861328,1.0
2023-06-12,181.8800048828125,181.8800048828125,1.0
2023-06-13,180.5399932861328,180.5399932861328,1.0
2023-06-14,180.63999938964844,180.63999938964844,1.0
2023-06-15,181.91000366210938,181.91000366210938,1.0
2023-06-16,181.6300048828125,181.6300048828125,1.0
2023-06-20,179.75,179.75,1.0
2023-06-21,179.49000549316406,179.49000549316406,1.0
2023-06-22,177.7100067138672,177.7100067138672,1.0
2023-06-23,178.1999969482422,178.1999969482422,1.0
2023-06-26,178.50999450683594,178.50999450683594,1.0
2023-06-27,177.69000244140625,177.69000244140625,1.0
2023-06-28,177.27999877929688,177.27999877929688,1.0
2023-06-29,177.08999633789062,177.08999633789062,1.0
2023-06-30,178.27000427246094,178.27000427246094,1.0
2023-07-03,178.47000122070312,178.47000122070312,1.0
